slurp_id,sentence,intent,entities,slot_string
13,time to sleep olly,hue_lightoff,[],O O O O
22,dim the lights in the kitchen olly,iot_hue_lightdim,"[{""span"": [5], ""type"": ""house_place""}]",O O O O O B-house_place O
34,i want to listen arijit singh song once again,play_music,"[{""span"": [4, 5], ""type"": ""artist_name""}]",O O O O B-artist_name I-artist_name O O O
35,i want to play that music one again,play_music,"[{""span"": [5], ""type"": ""media_type""}]",O O O O O B-media_type O O
37,check my laptop is working,general_quirky,[],O O O O O
38,is the brightness of my screen running low,general_quirky,[],O O O O O O O O
39,i need to have location services on can you check,general_quirky,[],O O O O O O O O O O
40,check the status of my power usage,general_quirky,[],O O O O O O O
41,i want the status on my screen brightness,general_quirky,[],O O O O O O O O
42,give me the status on my available memory,general_quirky,[],O O O O O O O O
50,olly tell me the time in g. m. t. plus five,datetime_convert,"[{""span"": [6, 7, 8, 9, 10], ""type"": ""time_zone""}]",O O O O O O B-time_zone I-time_zone I-time_zone I-time_zone I-time_zone
52,most rated delivery options for chinese food,takeaway_query,"[{""span"": [2], ""type"": ""order_type""}, {""span"": [5], ""type"": ""food_type""}]",O O B-order_type O O B-food_type O
53,list most rated delivery options for chinese food,takeaway_query,"[{""span"": [3], ""type"": ""order_type""}, {""span"": [6], ""type"": ""food_type""}]",O O O B-order_type O O B-food_type O
54,olly most rated delivery options for chinese food,takeaway_query,"[{""span"": [3], ""type"": ""order_type""}, {""span"": [6], ""type"": ""food_type""}]",O O O B-order_type O O B-food_type O
63,tell me about my alarms,alarm_query,[],O O O O O
64,whats new in london,news_query,"[{""span"": [4], ""type"": ""place_name""}]",O O O O B-place_name
69,i like rock music,music_likeness,"[{""span"": [2], ""type"": ""music_genre""}]",O O B-music_genre O
71,i like senatra songs,music_likeness,"[{""span"": [2], ""type"": ""artist_name""}]",O O B-artist_name O
72,start playing music from favourites,play_music,[],O O O O O
75,who's current music's author,music_query,[],O O O O O O
76,what's that the album is current music from,music_query,[],O O O O O O O O O
77,olly i'm really enjoying this song,music_likeness,[],O O O O O O O
78,the song you are playing is amazing,music_likeness,[],O O O O O O O
79,this is one of the best songs for me,music_likeness,[],O O O O O O O O O
84,turn cleaner robot on,iot_cleaning,"[{""span"": [1, 2], ""type"": ""device_type""}]",O B-device_type I-device_type O
86,what date is it today,datetime_query,"[{""span"": [4], ""type"": ""date""}]",O O O O B-date
92,does byron's supports takeaways,takeaway_query,"[{""span"": [1, 2], ""type"": ""business_name""}, {""span"": [4], ""type"": ""order_type""}]",O B-business_name I-business_name O B-order_type
98,is it currently snowing,weather_query,"[{""span"": [3], ""type"": ""weather_descriptor""}]",O O O B-weather_descriptor
99,whats the weeks forecast,weather_query,"[{""span"": [3], ""type"": ""time""}]",O O O B-time O
100,what's the week's forecast,weather_query,"[{""span"": [3, 4], ""type"": ""time""}]",O O O B-time I-time O
101,whats this weeks weather,weather_query,"[{""span"": [2, 3], ""type"": ""date""}]",O O B-date I-date O
102,what's this week's weather,weather_query,"[{""span"": [2, 3, 4], ""type"": ""date""}]",O O B-date I-date I-date O
104,tell me bbc news,news_query,"[{""span"": [2], ""type"": ""media_type""}]",O O B-media_type O
105,whats the news on bbc news,news_query,"[{""span"": [5], ""type"": ""media_type""}]",O O O O O B-media_type O
107,play hurts like heaven,play_music,"[{""span"": [1, 2, 3], ""type"": ""song_name""}]",O B-song_name I-song_name I-song_name
108,play a song i like,play_music,[],O O O O O
109,put on cannibal queen,play_music,"[{""span"": [2, 3], ""type"": ""song_name""}]",O O B-song_name I-song_name
111,put on some coldplay,play_music,"[{""span"": [3], ""type"": ""artist_name""}]",O O O B-artist_name
112,play some david bowie,play_music,"[{""span"": [2, 3], ""type"": ""artist_name""}]",O O B-artist_name I-artist_name
113,loop this track,music_settings,"[{""span"": [0], ""type"": ""player_setting""}]",B-player_setting O O
114,shuffle this playlist,settings,"[{""span"": [0], ""type"": ""player_setting""}]",B-player_setting O O
115,set the volume to low,audio_volume_down,"[{""span"": [3, 4], ""type"": ""change_amount""}]",O O O B-change_amount I-change_amount
116,whats playing,music_query,[],O O O
117,what music is this,music_query,[],O O O O
118,tell me the artist of this song,music_query,[],O O O O O O O
120,olly make me laugh,general_joke,[],O O O O
122,send a giggle my way,general_joke,[],O O O O O
124,olly tell me a joke,joke,[],O O O O O
125,alexa tell me a joke,joke,[],O O O O O
127,whats the day today,datetime_query,"[{""span"": [4], ""type"": ""date""}]",O O O O B-date
129,tell me about today,general_quirky,"[{""span"": [3], ""type"": ""date""}]",O O O B-date
131,order me a byron from deliveroo,takeaway_order,"[{""span"": [3], ""type"": ""food_type""}, {""span"": [5], ""type"": ""business_name""}]",O O O B-food_type O B-business_name
132,order a takeaway,takeaway_order,"[{""span"": [2], ""type"": ""order_type""}]",O O B-order_type
133,when is my order arriving,takeaway_query,[],O O O O O
135,domino's delivery status,takeaway_query,"[{""span"": [0, 1], ""type"": ""business_name""}, {""span"": [2], ""type"": ""order_type""}]",B-business_name I-business_name B-order_type O
148,olly i like to listen to jazz,play_music,"[{""span"": [6], ""type"": ""music_genre""}]",O O O O O O B-music_genre
161,olly dim the lights,iot_hue_lightdim,[],O O O O
163,olly make me a coffee,iot_coffee,[],O O O O O
171,olly do they deliver home,query,"[{""span"": [3], ""type"": ""order_type""}]",O O O B-order_type O
202,remove the alarm,alarm_remove,[],O O O
207,tell me the weather in shanghai,weather_query,"[{""span"": [5], ""type"": ""place_name""}]",O O O O O B-place_name
208,please set the lights to green,iot_hue_lightchange,"[{""span"": [5], ""type"": ""color_type""}]",O O O O O B-color_type
209,please make the lights reading friendly,iot_hue_lightchange,"[{""span"": [4, 5], ""type"": ""color_type""}]",O O O O B-color_type I-color_type
212,and the light began,iot_hue_lighton,[],O O O O
218,is it raining outside olly,query,"[{""span"": [2], ""type"": ""weather_descriptor""}]",O O B-weather_descriptor O O
219,should i bring an umbrella tomorrow,weather_query,"[{""span"": [4], ""type"": ""weather_descriptor""}, {""span"": [5], ""type"": ""date""}]",O O O O B-weather_descriptor B-date
220,play music from my rock list,play_music,"[{""span"": [4, 5], ""type"": ""playlist_name""}]",O O O O B-playlist_name I-playlist_name
221,change the lights into green,iot_hue_lightchange,"[{""span"": [4], ""type"": ""color_type""}]",O O O O B-color_type
224,olly lights off,iot_hue_lightoff,[],O O O
226,clean the floor please,iot_cleaning,"[{""span"": [2], ""type"": ""house_place""}]",O O B-house_place O
227,turn on the rice cooker socket,iot_wemo_on,"[{""span"": [3, 4, 5], ""type"": ""device_type""}]",O O O B-device_type I-device_type I-device_type
228,turn off the rice cooker socket,iot_wemo_off,"[{""span"": [3, 4, 5], ""type"": ""device_type""}]",O O O B-device_type I-device_type I-device_type
229,what time is it in las vegas,datetime_query,"[{""span"": [5, 6], ""type"": ""place_name""}]",O O O O O B-place_name I-place_name
234,olly alert me at three pm to go to the concert,alarm_set,"[{""span"": [4, 5], ""type"": ""time""}, {""span"": [10], ""type"": ""event_name""}]",O O O O B-time I-time O O O O B-event_name
235,alert me at three pm to go to the concert,alarm_set,"[{""span"": [3, 4], ""type"": ""time""}, {""span"": [9], ""type"": ""event_name""}]",O O O B-time I-time O O O O B-event_name
236,do i have an alarm set for morning flight,alarm_query,"[{""span"": [7], ""type"": ""timeofday""}, {""span"": [8], ""type"": ""event_name""}]",O O O O O O O B-timeofday B-event_name
241,what's going on outside,weather_query,[],O O O O O
243,what's going on in the world,news_query,"[{""span"": [6], ""type"": ""place_name""}]",O O O O O O B-place_name
244,what's happening in cambridge,news_query,"[{""span"": [4], ""type"": ""place_name""}]",O O O O B-place_name
245,show me some news from bbc,news_query,"[{""span"": [5], ""type"": ""media_type""}]",O O O O O B-media_type
246,olly show me some news from bbc,news_query,"[{""span"": [6], ""type"": ""media_type""}]",O O O O O O B-media_type
247,play cnn news,news_query,"[{""span"": [1], ""type"": ""media_type""}]",O B-media_type O
248,olly hackernews,news_query,"[{""span"": [1], ""type"": ""media_type""}]",O B-media_type
249,play me some hihop,play_music,"[{""span"": [3], ""type"": ""music_genre""}]",O O O B-music_genre
250,i feel like jazz right now how about you,play_music,"[{""span"": [3], ""type"": ""music_genre""}]",O O O B-music_genre O O O O O
251,olly death metal now,play_music,"[{""span"": [2], ""type"": ""music_genre""}]",O O B-music_genre O
253,play a good track from my favourite jazz player,play_music,"[{""span"": [7], ""type"": ""music_genre""}]",O O O O O O O B-music_genre O
254,olly play a good track from my favourite jazz player,play_music,"[{""span"": [8], ""type"": ""music_genre""}]",O O O O O O O O B-music_genre O
256,what music do i usually like after work,music_query,[],O O O O O O O O
260,i can barely hear you olly,audio_volume_up,[],O O O O O O
262,turn the lights blue,iot_hue_lightchange,"[{""span"": [3], ""type"": ""color_type""}]",O O O B-color_type
264,make the lights shine blue,iot_hue_lightchange,"[{""span"": [3, 4], ""type"": ""color_type""}]",O O O B-color_type I-color_type
265,olly good night lights off,iot_hue_lightoff,[],O O O O O
266,good night lights off,iot_hue_lightoff,[],O O O O
267,it's awfully dark here,iot_hue_lighton,[],O O O O O
269,olly it's too dark i can't even see my hands,iot_hue_lighton,[],O O O O O O O O O O O O
272,is it time in peru,datetime_query,"[{""span"": [4], ""type"": ""place_name""}]",O O O O B-place_name
273,what is the song,music_query,[],O O O O
274,olly what is the song,music_query,[],O O O O O
275,what the singer meant by the title of the song bohemian rhapsody,music_query,"[{""span"": [10, 11], ""type"": ""song_name""}]",O O O O O O O O O O B-song_name I-song_name
276,who covered the song one more cup of coffee,music_query,"[{""span"": [4, 5, 6, 7, 8], ""type"": ""song_name""}]",O O O O B-song_name I-song_name I-song_name I-song_name I-song_name
278,what is the weather like in toronto,weather_query,"[{""span"": [6], ""type"": ""place_name""}]",O O O O O O B-place_name
280,what is the current state of brexit negotiations,news_query,"[{""span"": [6, 7], ""type"": ""news_topic""}]",O O O O O O B-news_topic I-news_topic
281,what is the exchange rate of us dollar to pound sterling,news_query,"[{""span"": [3, 4, 5, 6, 7, 8, 9, 10], ""type"": ""news_topic""}]",O O O B-news_topic I-news_topic I-news_topic I-news_topic I-news_topic I-news_topic I-news_topic I-news_topic
282,who is going to win the next elections in the france,news_query,"[{""span"": [7], ""type"": ""news_topic""}, {""span"": [10], ""type"": ""place_name""}]",O O O O O O O B-news_topic O O B-place_name
283,do you expect sun on sunday,weather_query,"[{""span"": [3], ""type"": ""weather_descriptor""}, {""span"": [5], ""type"": ""date""}]",O O O B-weather_descriptor O B-date
284,is it going to rain in the evening,weather_query,"[{""span"": [4], ""type"": ""weather_descriptor""}, {""span"": [7], ""type"": ""timeofday""}]",O O O O B-weather_descriptor O O B-timeofday
286,light up the lights in the kitchen,iot_hue_lighton,"[{""span"": [6], ""type"": ""house_place""}]",O O O O O O B-house_place
288,lighten the light,iot_hue_lightup,[],O O O
289,what time is it in moscow now,datetime_query,"[{""span"": [5], ""type"": ""place_name""}]",O O O O O B-place_name O
290,start a vacuum cleaner,iot_cleaning,"[{""span"": [2, 3], ""type"": ""device_type""}]",O O B-device_type I-device_type
294,tell me the news,news_query,[],O O O O
296,play a nirvana playlist,play_music,"[{""span"": [2, 3], ""type"": ""playlist_name""}]",O O B-playlist_name I-playlist_name
302,hey what are you up to,general_quirky,[],O O O O O O
303,how are you doing,general_greet,[],O O O O
306,i would like to have a sushi can you order me a lunch,takeaway_order,"[{""span"": [6], ""type"": ""food_type""}, {""span"": [12], ""type"": ""meal_type""}]",O O O O O O B-food_type O O O O O B-meal_type
307,alexa i would like to have a sushi can you order me a lunch,takeaway_order,"[{""span"": [7], ""type"": ""food_type""}, {""span"": [13], ""type"": ""meal_type""}]",O O O O O O O B-food_type O O O O O B-meal_type
308,order a takeaway sandwich and soup from the italian's,takeaway_order,"[{""span"": [2], ""type"": ""order_type""}, {""span"": [3], ""type"": ""food_type""}, {""span"": [5], ""type"": ""food_type""}, {""span"": [8, 9], ""type"": ""business_name""}]",O O B-order_type B-food_type O B-food_type O O B-business_name I-business_name
311,what day is memorial day this year,datetime_query,"[{""span"": [5, 6], ""type"": ""date""}]",O O O O O B-date I-date
312,it's too dark here,iot_hue_lighton,[],O O O O O
313,increase brightness by twenty percent,iot_hue_lightup,"[{""span"": [2, 3, 4], ""type"": ""change_amount""}]",O O B-change_amount I-change_amount I-change_amount
315,please be quiet for another hour,audio_volume_mute,"[{""span"": [4, 5], ""type"": ""time""}]",O O O O B-time I-time
319,tell me the weather in barcelona in two days from now,weather_query,"[{""span"": [5], ""type"": ""place_name""}, {""span"": [7, 8, 9, 10], ""type"": ""time""}]",O O O O O B-place_name O B-time I-time I-time I-time
320,shall i get an umbrella tomorrow,weather_query,"[{""span"": [4], ""type"": ""weather_descriptor""}, {""span"": [5], ""type"": ""date""}]",O O O O B-weather_descriptor B-date
322,enable my plug,iot_wemo_on,"[{""span"": [2], ""type"": ""device_type""}]",O O B-device_type
323,turn on the smart charger,iot_wemo_on,"[{""span"": [3, 4], ""type"": ""device_type""}]",O O O B-device_type I-device_type
324,tell me the news in technology from engadget,news_query,"[{""span"": [5], ""type"": ""news_topic""}, {""span"": [7], ""type"": ""media_type""}]",O O O O O B-news_topic O B-media_type
326,evening,weather_query,"[{""span"": [0], ""type"": ""timeofday""}]",B-timeofday
328,one dance,play_music,"[{""span"": [0, 1], ""type"": ""song_name""}]",B-song_name I-song_name
329,seven years,play_music,"[{""span"": [0, 1], ""type"": ""song_name""}]",B-song_name I-song_name
334,i wish to know the weather in san fransico,weather_query,"[{""span"": [7, 8], ""type"": ""place_name""}]",O O O O O O O B-place_name I-place_name
335,i wish to know the weather in s.f.,weather_query,"[{""span"": [7, 8], ""type"": ""place_name""}]",O O O O O O O B-place_name I-place_name
336,is it snowing in california,weather_query,"[{""span"": [2], ""type"": ""weather_descriptor""}, {""span"": [4], ""type"": ""place_name""}]",O O B-weather_descriptor O B-place_name
337,button,play_music,[],O
338,menu,play_music,[],O
339,yo i need a coffee now,iot_coffee,[],O O O O O O
340,yo olly i need a coffee now,iot_coffee,"[{""span"": [5], ""type"": ""date""}]",O O O O O B-date O
343,how will be the weather tomorrow,weather_query,"[{""span"": [5], ""type"": ""date""}]",O O O O O B-date
347,what is tomorrow's weather predictions,weather_query,"[{""span"": [2, 3], ""type"": ""date""}]",O O B-date I-date O O
351,search if the restaurant does take out,takeaway_query,"[{""span"": [3], ""type"": ""business_type""}, {""span"": [5, 6], ""type"": ""order_type""}]",O O O B-business_type O B-order_type I-order_type
352,is there a takeout menu at the restaurant,takeaway_query,"[{""span"": [3], ""type"": ""order_type""}, {""span"": [7], ""type"": ""business_type""}]",O O O B-order_type O O O B-business_type
353,what day of the week is the twenty second march,datetime_query,"[{""span"": [7, 8, 9], ""type"": ""date""}]",O O O O O O O B-date I-date I-date
361,play the track eight from google play music,play_music,"[{""span"": [2, 3], ""type"": ""song_name""}, {""span"": [5, 6], ""type"": ""playlist_name""}]",O O B-song_name I-song_name O B-playlist_name I-playlist_name O
362,play the second song from anirudh's song,play_music,"[{""span"": [5, 6], ""type"": ""artist_name""}]",O O O O O B-artist_name I-artist_name O
367,what's going on in the news,news_query,[],O O O O O O O
368,what's the weather like in new york city,weather_query,"[{""span"": [6, 7, 8], ""type"": ""place_name""}]",O O O O O O B-place_name I-place_name I-place_name
371,go to menu,play_music,[],O O O
372,choose that music player,play_music,"[{""span"": [2, 3], ""type"": ""device_type""}]",O O B-device_type I-device_type
373,play the song,play_music,[],O O O
374,tell me if the following is true about the weather,weather_query,[],O O O O O O O O O O
376,check the weather app to see if,weather_query,[],O O O O O O O
377,can save this music in my playlist,music_likeness,[],O O O O O O O
379,i want the music to be saved can you do it for me,music_likeness,[],O O O O O O O O O O O O O
380,please play games by disturbed,play_music,"[{""span"": [2], ""type"": ""song_name""}, {""span"": [4], ""type"": ""artist_name""}]",O O B-song_name O B-artist_name
381,please open my music application and play games by disturbed,play_music,"[{""span"": [7], ""type"": ""song_name""}, {""span"": [9], ""type"": ""artist_name""}]",O O O O O O O B-song_name O B-artist_name
382,please play the song games by disturbed,play_music,"[{""span"": [4], ""type"": ""song_name""}, {""span"": [6], ""type"": ""artist_name""}]",O O O O B-song_name O B-artist_name
383,turn off the garage light,iot_hue_lightoff,"[{""span"": [3], ""type"": ""house_place""}]",O O O B-house_place O
390,switch the smart plug socket,iot_wemo_on,"[{""span"": [2, 3], ""type"": ""device_type""}]",O O B-device_type I-device_type O
391,play a random song from my playlist,play_music,[],O O O O O O O
393,play a retro song in my playlist,play_music,"[{""span"": [2], ""type"": ""music_genre""}]",O O B-music_genre O O O O
394,if it is noon in virginia what time is it in california,datetime_convert,"[{""span"": [3], ""type"": ""timeofday""}, {""span"": [5], ""type"": ""place_name""}, {""span"": [11], ""type"": ""place_name""}]",O O O B-timeofday O B-place_name O O O O O B-place_name
395,what is the time difference between eastern time and pacific time,datetime_convert,"[{""span"": [6], ""type"": ""time_zone""}, {""span"": [9, 10], ""type"": ""time_zone""}]",O O O O O O B-time_zone O O B-time_zone I-time_zone
396,play why do you sing by kirk franklin,play_music,"[{""span"": [1, 2, 3, 4], ""type"": ""song_name""}, {""span"": [6, 7], ""type"": ""artist_name""}]",O B-song_name I-song_name I-song_name I-song_name O B-artist_name I-artist_name
398,will it be warm tomorrow,weather_query,"[{""span"": [3], ""type"": ""weather_descriptor""}, {""span"": [4], ""type"": ""date""}]",O O O B-weather_descriptor B-date
402,can you change the light colors in the house,iot_hue_lightchange,"[{""span"": [8], ""type"": ""house_place""}]",O O O O O O O O B-house_place
403,can you shuffle the light colors in the house,iot_hue_lightchange,"[{""span"": [2], ""type"": ""player_setting""}, {""span"": [8], ""type"": ""house_place""}]",O O B-player_setting O O O O O B-house_place
404,can you change the light colors into dark in the house,iot_hue_lightchange,"[{""span"": [7], ""type"": ""color_type""}, {""span"": [10], ""type"": ""house_place""}]",O O O O O O O B-color_type O O B-house_place
405,play my r and b playlist,play_music,"[{""span"": [2, 3, 4, 5], ""type"": ""playlist_name""}]",O O B-playlist_name I-playlist_name I-playlist_name I-playlist_name
406,i would like to listen to pop music please,play_music,"[{""span"": [6], ""type"": ""music_genre""}]",O O O O O O B-music_genre O O
407,can you play rock music for the next hour,play_music,"[{""span"": [3], ""type"": ""music_genre""}, {""span"": [7, 8], ""type"": ""time""}]",O O O B-music_genre O O O B-time I-time
414,change my room lights to some romantic colour,iot_hue_lightchange,"[{""span"": [6], ""type"": ""color_type""}]",O O O O O O B-color_type O
416,set an alarm for me at eight am,alarm_set,"[{""span"": [6, 7], ""type"": ""time""}]",O O O O O O B-time I-time
417,make an alarm for four pm,alarm_set,"[{""span"": [4, 5], ""type"": ""time""}]",O O O O B-time I-time
419,go to alarm on menu,alarm_set,[],O O O O O
420,change the time,alarm_set,[],O O O
421,set alarm,alarm_set,[],O O
423,alexa what are the latest news,news_query,[],O O O O O O
425,what are the heartthrob news,news_query,"[{""span"": [3], ""type"": ""news_topic""}]",O O O B-news_topic O
426,power up the plug socket one,iot_wemo_on,"[{""span"": [3, 4, 5], ""type"": ""device_type""}]",O O O B-device_type I-device_type I-device_type
429,lights off bathroom,iot_hue_lightoff,"[{""span"": [2], ""type"": ""house_place""}]",O O B-house_place
431,what's the weather like on friday,weather_query,"[{""span"": [6], ""type"": ""date""}]",O O O O O O B-date
432,what is the weather right now outside,weather_query,[],O O O O O O O
435,what day of the month is next tuesday,datetime_query,"[{""span"": [4], ""type"": ""date""}, {""span"": [7], ""type"": ""date""}]",O O O O B-date O O B-date
437,open bad religion folder,play_music,"[{""span"": [1, 2], ""type"": ""artist_name""}]",O B-artist_name I-artist_name O
440,read me new headlines,news_query,[],O O O O
441,what are the latest news headlines,news_query,[],O O O O O O
442,what's happening in the news,news_query,[],O O O O O O
445,repeat album,music_settings,"[{""span"": [0], ""type"": ""player_setting""}]",B-player_setting O
446,play metallica,play_music,"[{""span"": [1], ""type"": ""artist_name""}]",O B-artist_name
447,play old fashioned christmas music,play_music,"[{""span"": [1, 2, 3], ""type"": ""music_descriptor""}]",O B-music_descriptor I-music_descriptor I-music_descriptor O
448,run coffee maker,iot_coffee,"[{""span"": [1, 2], ""type"": ""device_type""}]",O B-device_type I-device_type
450,make coffee olly,coffee,[],O O O
454,change the lights in the kitchen to blue,iot_hue_lightchange,"[{""span"": [5], ""type"": ""house_place""}, {""span"": [7], ""type"": ""color_type""}]",O O O O O B-house_place O B-color_type
455,fix the lights in the living room to red,iot_hue_lightchange,"[{""span"": [5, 6], ""type"": ""house_place""}, {""span"": [8], ""type"": ""color_type""}]",O O O O O B-house_place I-house_place O B-color_type
457,i don't like this band,music_dislikeness,[],O O O O O O
459,i am unable to hear you can you speak little loud,audio_volume_up,[],O O O O O O O O O O O
460,please speak loud,audio_volume_up,[],O O O
462,i want to listen jazz,play_music,"[{""span"": [4], ""type"": ""music_genre""}]",O O O O B-music_genre
466,siri what's the date,datetime_query,[],O O O O O
470,turn off lamp,hue_lightoff,"[{""span"": [2], ""type"": ""device_type""}]",O O B-device_type
472,play songs by sia,play_music,"[{""span"": [3], ""type"": ""artist_name""}]",O O O B-artist_name
474,open songs by prince,play_music,"[{""span"": [3], ""type"": ""artist_name""}]",O O O B-artist_name
478,open news about bp oil,news_query,"[{""span"": [3, 4], ""type"": ""news_topic""}]",O O O B-news_topic I-news_topic
481,what time is it in the other time zones,datetime_query,"[{""span"": [6, 7, 8], ""type"": ""place_name""}]",O O O O O O B-place_name I-place_name I-place_name
482,what time zone is arizona,datetime_query,"[{""span"": [4], ""type"": ""place_name""}]",O O O O B-place_name
484,who is the singer of song,music_query,[],O O O O O O
487,what is the time in india right now,datetime_query,"[{""span"": [5], ""type"": ""place_name""}]",O O O O O B-place_name O O
489,what is the temperature outside,weather_query,"[{""span"": [3], ""type"": ""weather_descriptor""}]",O O O B-weather_descriptor O
491,is it cold outside,weather_query,"[{""span"": [2], ""type"": ""weather_descriptor""}]",O O B-weather_descriptor O
492,whats a silly joke you know,general_joke,"[{""span"": [3], ""type"": ""joke_type""}]",O O O B-joke_type O O O
493,what's a silly joke you know,general_joke,"[{""span"": [3], ""type"": ""joke_type""}]",O O O B-joke_type O O O
494,what's a good joke,general_joke,"[{""span"": [3], ""type"": ""joke_type""}]",O O O B-joke_type O
495,select the music player,play_music,"[{""span"": [2, 3], ""type"": ""device_type""}]",O O B-device_type I-device_type
496,change the light color to blue,iot_hue_lightchange,"[{""span"": [5], ""type"": ""color_type""}]",O O O O O B-color_type
497,confirm whether the color is blue,iot_hue_lightchange,"[{""span"": [5], ""type"": ""color_type""}]",O O O O O B-color_type
500,whats the time in denver,datetime_query,"[{""span"": [5], ""type"": ""place_name""}]",O O O O O B-place_name
501,find a weather,weather_query,[],O O O
505,play tonic,play_music,"[{""span"": [1], ""type"": ""music_descriptor""}]",O B-music_descriptor
507,confirm the alarm time,alarm_query,[],O O O O
511,by proper formula,weather_query,[],O O O
513,by our scores,weather_query,[],O O O
515,mute yourself when i am in a meeting,audio_volume_mute,"[{""span"": [7], ""type"": ""event_name""}]",O O O O O O O B-event_name
516,mute for the next hour please,audio_volume_mute,"[{""span"": [3, 4], ""type"": ""time""}]",O O O B-time I-time O
518,play my most played songs,play_music,[],O O O O O
522,its not possible,weather_query,[],O O O
523,its very dangerous one,weather_query,[],O O O O
524,how much time it will take to prepare the order,takeaway_query,[],O O O O O O O O O O
526,tell me random joke,general_joke,"[{""span"": [2], ""type"": ""joke_type""}]",O O B-joke_type O
528,what's your favorite joke,general_joke,[],O O O O O
530,by remote sensor,iot_hue_lightoff,[],O O O
532,please tell me some international news,news_query,"[{""span"": [4], ""type"": ""place_name""}]",O O O O B-place_name O
533,set an alarm for nine am,alarm_set,"[{""span"": [4, 5], ""type"": ""time""}]",O O O O B-time I-time
537,turn on an alarm for nine am,alarm_set,"[{""span"": [5, 6], ""type"": ""time""}]",O O O O O B-time I-time
540,play the song sung by katy perry,play_music,"[{""span"": [5, 6], ""type"": ""artist_name""}]",O O O O O B-artist_name I-artist_name
541,play the song immediately,play_music,"[{""span"": [3], ""type"": ""song_name""}]",O O O B-song_name
543,what's the funniest joke,general_joke,"[{""span"": [3], ""type"": ""joke_type""}]",O O O B-joke_type O
545,play the playlist,play_music,[],O O O
546,hey olly play the playlist,play_music,[],O O O O O
547,please increase the volume of the music hips don't lie,audio_volume_up,"[{""span"": [7, 8, 9, 10], ""type"": ""song_name""}]",O O O O O O O B-song_name I-song_name I-song_name I-song_name
548,please lower the shuffle rate of hips don't lie,music_settings,"[{""span"": [1], ""type"": ""player_setting""}, {""span"": [3], ""type"": ""player_setting""}, {""span"": [6, 7, 8, 9], ""type"": ""song_name""}]",O B-player_setting O B-player_setting O O B-song_name I-song_name I-song_name I-song_name
