slurp_id,sentence,intent,entities,slot_string
9024,event,calendar_set,[],O
7874,i need an event three days from now scheduled with amy,calendar_set,"[{""span"": [4, 5, 6, 7], ""type"": ""date""}, {""span"": [10], ""type"": ""person""}]",O O O O B-date I-date I-date I-date O O B-person
5822,turn up,audio_volume_up,[],O O
5013,brighten the lights a little bit,iot_hue_lightup,[],O O O O O O
3033,what's the current weather,weather_query,[],O O O O O
2831,please make coffee,iot_coffee,[],O O O
5148,silent mode on for the next three hours,audio_volume_mute,"[{""span"": [5, 6, 7], ""type"": ""time""}]",O O O O O B-time I-time I-time
11236,remove dog food from my grocery list,lists_remove,"[{""span"": [5, 6], ""type"": ""list_name""}]",O O O O O B-list_name I-list_name
16742,check my email for new emails during the last hour,email_query,"[{""span"": [8, 9], ""type"": ""time""}]",O O O O O O O O B-time I-time
5172,please wake me up at seven thirty am,alarm_set,"[{""span"": [5, 6, 7], ""type"": ""time""}]",O O O O O B-time I-time I-time
5891,are there any alarms set what are they,alarm_query,[],O O O O O O O O
15135,is i. b. m. up today,qa_stock,"[{""span"": [1, 2, 3], ""type"": ""business_name""}, {""span"": [5], ""type"": ""date""}]",O B-business_name I-business_name I-business_name O B-date
6951,i want you to remind me the next meeting with my girlfriend it will be at eight pm next sunday,calendar_set,"[{""span"": [8], ""type"": ""event_name""}, {""span"": [11], ""type"": ""relation""}, {""span"": [16, 17], ""type"": ""time""}, {""span"": [18, 19], ""type"": ""date""}]",O O O O O O O O B-event_name O O B-relation O O O O B-time I-time B-date I-date
5311,hey olly play playlist tactics from music,play_music,"[{""span"": [4], ""type"": ""playlist_name""}]",O O O O B-playlist_name O O
11917,i need something fun to do this weekend nearby can you give me ideas,recommendation_events,"[{""span"": [6, 7], ""type"": ""date""}]",O O O O O O B-date I-date O O O O O O
701,check weather,weather_query,[],O O
14842,what is a transistor,qa_definition,"[{""span"": [3], ""type"": ""definition_word""}]",O O O B-definition_word
7619,when will i meet with joe next,calendar_set,"[{""span"": [5], ""type"": ""person""}]",O O O O O B-person O
4200,snooze all today's alarms permanently,alarm_remove,"[{""span"": [2, 3], ""type"": ""date""}]",O O B-date I-date O O
11461,play that podcast please,play_podcasts,[],O O O O
7790,please remind me about the eleven am business meet,calendar_set,"[{""span"": [5, 6], ""type"": ""time""}, {""span"": [7, 8], ""type"": ""event_name""}]",O O O O O B-time I-time B-event_name I-event_name
15204,live show reminders,social_query,[],O O O
5542,please let me know the alarm kept for tuesday's meeting,alarm_query,"[{""span"": [8, 9], ""type"": ""date""}, {""span"": [10], ""type"": ""event_name""}]",O O O O O O O O B-date I-date B-event_name
16235,add dale@gmail dot com to my contacts,email_addcontact,"[{""span"": [1, 2, 3], ""type"": ""email_address""}]",O B-email_address I-email_address I-email_address O O O
11884,what's happening tonight in chicago,recommendation_events,"[{""span"": [3], ""type"": ""timeofday""}, {""span"": [5], ""type"": ""place_name""}]",O O O B-timeofday O B-place_name
6003,do i need to wear some warm clothes today,weather_query,"[{""span"": [6, 7], ""type"": ""weather_descriptor""}, {""span"": [8], ""type"": ""date""}]",O O O O O O B-weather_descriptor I-weather_descriptor B-date
4952,train wreck,news_query,"[{""span"": [0, 1], ""type"": ""news_topic""}]",B-news_topic I-news_topic
7963,do i have any upcoming reminders,calendar_query,[],O O O O O O
4649,i love that song,music_likeness,[],O O O O
13745,can you guarantee that you can chose the winning lottery numbers,general_quirky,[],O O O O O O O O O O O
1670,facebook launches disputed tag to crack down on fake news,news_query,"[{""span"": [0], ""type"": ""media_type""}, {""span"": [8, 9], ""type"": ""news_topic""}]",B-media_type O O O O O O O B-news_topic I-news_topic
14256,download certain vocab,qa_factoid,[],O O O
3249,cancel alarm for tenth of march two thousand seventeen,alarm_remove,"[{""span"": [3, 4, 5, 6, 7, 8], ""type"": ""date""}]",O O O B-date I-date I-date I-date I-date I-date
7452,could you please create a new event on my calendar,calendar_set,[],O O O O O O O O O O
